plot,tree_id,bin_low,bin_high,hag_mid,tree_height_m,CBH_m,n_points,n_wood,n_leaf,wood_frac,leaf_frac,wood_area_m2,total_area_m2,wood_spread_m,intensity_median_wood,intensity_median_all,wood_area_ratio,wood_spread_ratio,intensity_wood_ratio
P02,30,8.25,8.5,8.375,14.854839769061547,9.49,31068,8448,22620,0.2719196601004249,0.7280803398995751,1.0600000000000003,4.110000000000001,1.3169170004111128,4369.0,2827.0,5.0476190476190474,6.8937196980318625,0.24285714285714285
P02,30,8.5,8.75,8.625,14.854839769061547,9.49,51824,7353,44471,0.14188406915714727,0.8581159308428528,1.0100000000000002,5.100000000000001,1.0877180416456893,4883.0,3341.0,4.809523809523809,5.693922462278705,0.2714285714285714
P02,30,8.75,9.0,8.875,14.854839769061547,9.49,47962,7190,40772,0.14991034569033818,0.8500896543096619,0.9700000000000002,5.270000000000001,1.5183931577622112,5140.0,3598.0,4.619047619047619,7.948395242642071,0.2857142857142857
P02,30,9.0,9.25,9.125,14.854839769061547,9.49,44314,5052,39262,0.11400460351130569,0.8859953964886943,0.7400000000000001,6.030000000000001,1.3741696193749056,4883.0,3341.0,3.5238095238095233,7.1934223421555235,0.2714285714285714
P02,30,9.25,9.5,9.375,14.854839769061547,9.49,49906,4788,45118,0.09594036789163628,0.9040596321083637,0.6100000000000001,5.780000000000001,1.1070625993683356,4369.0,3341.0,2.9047619047619047,5.795186215864307,0.24285714285714285
P02,30,9.5,9.75,9.625,14.854839769061547,9.49,28781,3106,25675,0.10791841840102846,0.8920815815989716,0.7000000000000002,4.720000000000001,2.10017118332602,4883.0,3084.0,3.3333333333333335,10.99385265070901,0.2714285714285714
P02,30,9.75,10.0,9.875,14.854839769061547,9.49,12976,4684,8292,0.36097410604192354,0.6390258939580764,0.6800000000000002,3.0800000000000005,1.9231892261903851,4369.0,2827.0,3.238095238095238,10.067397905481117,0.24285714285714285
P02,30,10.0,10.25,10.125,14.854839769061547,9.49,20142,5091,15051,0.252755436401549,0.747244563598451,0.8100000000000002,3.4700000000000006,1.1125868507622432,5654.0,2570.0,3.857142857142857,5.824104242314852,0.3142857142857143
P02,30,10.25,10.5,10.375,14.854839769061547,9.49,37239,7518,29721,0.20188512043825022,0.7981148795617498,1.2000000000000002,5.580000000000001,0.8248404699400156,5397.0,2570.0,5.7142857142857135,4.31782640332248,0.3
P02,30,10.5,10.75,10.625,14.854839769061547,9.49,40333,2366,37967,0.058661641831750676,0.9413383581682493,0.5900000000000001,7.520000000000001,0.97004069595767,6168.0,2827.0,2.8095238095238093,5.077912010801236,0.34285714285714286
